genus	organism_name	Organism Name (Genus, Species)	# assembly_accession	refseq_category	taxid	version_status	assembly_level	release_type	genome_rep	seq_rel_date	ftp_path	Oral Taxon ID	HOMD Sequence ID	Culture Collection Entry Number	Sequencing Status	NCBI Genome Survey Sequence Accession ID	species_taxid	infraspecific_name	Assembly_Level_Score	Refseq_Category_Score	Sequencing_Status_Score	Organism
Actinomyces	Actinomyces bouchesdurhonensis	NA	GCA_900128465.1	na	1852361	latest	Scaffold	Major	Full	2016/12/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/465/GCA_900128465.1_PRJEB18045	NA	NA	NA	NA	NA	1852361	strain=Marseille-P2825	2	0	0	Actinomyces bouchesdurhonensis
Actinomyces	Actinomyces bovis	NA	GCA_900444995.1	na	1658	latest	Contig	Major	Full	2018/06/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/444/995/GCA_900444995.1_50256_F01	NA	NA	NA	NA	NA	1658	strain=NCTC11535	1	0	0	Actinomyces bovis
Actinomyces	Actinomyces cardiffensis F0333	Actinomyces cardiffensis	GCA_000364865.1	representative genome	888050	latest	Scaffold	Major	Full	2013/04/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/865/GCA_000364865.1_ASM36486v1	850	SEQF1667	F0333	High Coverage	AQHZ00000000	181487	strain=F0333	2	1	2	Actinomyces cardiffensis
Actinomyces	Actinomyces coleocanis DSM 15436	NA	GCA_000159015.1	representative genome	525245	latest	Scaffold	Major	Full	2009/01/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/015/GCA_000159015.1_ASM15901v1	NA	NA	NA	NA	NA	103618	strain=DSM 15436	2	1	0	Actinomyces coleocanis DSM 15436
Actinomyces	Actinomyces culturomici	NA	GCA_900499005.1	na	1926276	latest	Scaffold	Major	Full	2018/08/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/499/005/GCA_900499005.1_PRJEB27979	NA	NA	NA	NA	NA	1926276	strain=Marseille-P3575	2	0	0	Actinomyces culturomici
Actinomyces	Actinomyces dentalis DSM 19115	Actinomyces dentalis	GCA_000429225.1	representative genome	1120941	latest	Scaffold	Major	Full	2013/07/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/429/225/GCA_000429225.1_ASM42922v1	888	SEQF2573	DSM 19115	High Coverage	AUBL00000000	272548	strain=DSM 19115	2	1	2	Actinomyces dentalis
Actinomyces	Actinomyces denticolens	NA	GCA_900141725.1	na	52767	latest	Scaffold	Major	Full	2016/12/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/141/725/GCA_900141725.1_IMG-taxon_2651870314_annotated_assembly	NA	NA	NA	NA	NA	52767	strain=PA	2	0	0	Actinomyces denticolens
Actinomyces	Actinomyces europaeus ACS-120-V-Col10b	NA	GCA_000411155.1	na	883069	latest	Scaffold	Major	Full	2013/06/14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/411/155/GCA_000411155.1_Acti_euro_ACS-120-V-COL10B_V1	NA	NA	NA	NA	NA	66228	strain=ACS-120-V-Col10b	2	0	0	Actinomyces europaeus ACS-120-V-Col10b
Actinomyces	Actinomyces gaoshouyii	NA	GCA_002076915.1	na	1960083	latest	Complete Genome	Major	Full	2017/04/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/076/915/GCA_002076915.1_ASM207691v1	NA	NA	NA	NA	NA	1960083	strain=pika_114	4	0	0	Actinomyces gaoshouyii
Actinomyces	Actinomyces georgiae DSM 6843	Actinomyces georgiae	GCA_000429245.1	na	1120942	latest	Scaffold	Major	Full	2013/07/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/429/245/GCA_000429245.1_ASM42924v1	617	SEQF2574	DSM 6843	High Coverage	AUBM00000000	52768	strain=DSM 6843	2	0	2	Actinomyces georgiae
Actinomyces	Actinomyces gerencseriae DSM 6844	Actinomyces gerencseriae	GCA_000429265.1	representative genome	1120943	latest	Scaffold	Major	Full	2013/09/05	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/429/265/GCA_000429265.1_ASM42926v1	618	SEQF2575	DSM 6844	High Coverage	AUBN00000000	52769	strain=DSM 6844	2	1	2	Actinomyces gerencseriae
Actinomyces	Actinomyces glycerinitolerans	NA	GCA_900098745.1	representative genome	1892869	latest	Scaffold	Major	Full	2016/12/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/098/745/GCA_900098745.1_Acetnomyces_glycerinotoleransG10	NA	NA	NA	NA	NA	1892869		2	1	0	Actinomyces glycerinitolerans
Actinomyces	Actinomyces graevenitzii C83	Actinomyces graevenitzii	GCA_000239695.1	representative genome	435830	latest	Scaffold	Major	Full	2011/12/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/695/GCA_000239695.1_Acti_grae_C83_V1	866	SEQF2031	C83	High Coverage	ACRN00000000	55565	strain=C83	2	1	2	Actinomyces graevenitzii
Actinomyces	Actinomyces hominis	NA	GCA_002871945.1	na	595468	latest	Scaffold	Major	Full	2018/01/10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/871/945/GCA_002871945.1_ASM287194v1	NA	NA	NA	NA	NA	595468	strain=UMB0859	2	0	0	Actinomyces hominis
Actinomyces	Actinomyces hongkongensis	NA	GCA_001746855.1	representative genome	178339	latest	Chromosome	Major	Full	2016/09/26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/855/GCA_001746855.1_ASM174685v1	NA	NA	NA	NA	NA	178339	strain=HKU8	3	1	0	Actinomyces hongkongensis
Actinomyces	Actinomyces hordeovulneris	NA	GCA_001907235.1	representative genome	52770	latest	Scaffold	Major	Full	2016/12/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/907/235/GCA_001907235.1_ASM190723v1	NA	NA	NA	NA	NA	52770	strain=DSM 20732	2	1	0	Actinomyces hordeovulneris
Actinomyces	Actinomyces ihuae	NA	GCA_001457875.1	na	1673722	latest	Contig	Major	Full	2015/10/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/875/GCA_001457875.1_Actinomyces_ihumii	NA	NA	NA	NA	NA	1673722	strain=SD1	1	0	0	Actinomyces ihuae
Actinomyces	Actinomyces israelii DSM 43320	Actinomyces israelii	GCA_000711965.1	representative genome	1120944	latest	Scaffold	Major	Full	2014/06/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/711/965/GCA_000711965.1_ASM71196v1	645	SEQF2705	DSM 43320	High Coverage	JONS00000000	1659	strain=DSM 43320	2	1	2	Actinomyces israelii
Actinomyces	Actinomyces johnsonii F0542	Actinomyces johnsonii	GCA_000466245.1	representative genome	1321818	latest	Scaffold	Major	Full	2013/09/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/245/GCA_000466245.1_ASM46624v1	849	SEQF2449	F0542	High Coverage	AWSE00000000	544581	strain=F0542	2	1	2	Actinomyces johnsonii
Actinomyces	Actinomyces sp. oral taxon 181 str. F0379	Actinomyces lingnae [Not Validly Published]	GCA_000318335.2	na	1127690	latest	Scaffold	Minor	Full	2013/01/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/335/GCA_000318335.2_ASM31833v2	181	SEQF1948	F0379	High Coverage	AMEW00000000	712121	strain=F0379	2	0	2	Actinomyces lingnae [Not Validly Published]
Actinomyces	Actinomyces liubingyangii	NA	GCA_001907245.1	representative genome	1921764	latest	Scaffold	Major	Full	2016/12/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/907/245/GCA_001907245.1_ASM190724v1	NA	NA	NA	NA	NA	1921764	strain=VUL4_1	2	1	0	Actinomyces liubingyangii
Actinomyces	Actinomyces marimammalium	NA	GCA_001936115.1	representative genome	156892	latest	Scaffold	Major	Full	2016/12/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/115/GCA_001936115.1_ASM193611v1	NA	NA	NA	NA	NA	156892	strain=DSM 15383	2	1	0	Actinomyces marimammalium
